Player ID,X Location,Y Location,Total_Seconds_Remaining,Shot_Type_Encoded,Shot_Distance_Meters,Shot_Zone_Combined,Shot Made Flag
201580,13,6,571,2,0.3048,1,0
1889,-96,145,237,2,5.1816,3,0
2203,0,0,196,2,0.0,1,1
951,164,199,7,3,7.62,5,0
2545,24,206,46,2,6.096,4,0
201587,234,22,290,3,7.010400000000001,6,0
201567,-156,216,678,3,7.9248,5,0
219,-36,57,80,2,1.8288000000000002,2,1
947,95,354,0,3,10.972800000000001,5,0
1938,-105,146,590,2,5.1816,3,0
2050,62,232,559,3,7.315200000000001,5,0
977,-4,4,201,2,0.0,1,1
2585,122,13,379,2,3.6576000000000004,4,0
960,154,204,540,3,7.62,5,1
275,171,10,287,2,5.1816,4,0
2547,64,174,162,2,5.486400000000001,4,1
201942,-119,17,277,2,3.6576000000000004,3,0
949,-134,74,422,2,4.572,3,0
754,-205,173,119,3,7.9248,5,1
202718,-8,19,9,2,0.6096,1,1
201567,-52,278,585,3,8.5344,5,1
201150,-7,17,384,2,0.3048,1,1
1749,-230,0,397,3,7.010400000000001,6,1
1712,172,-24,637,2,5.1816,4,0
56,28,35,362,2,1.2192,2,1
2561,-15,14,473,2,0.6096,1,1
202327,-58,21,23,2,1.8288000000000002,2,0
2419,-54,6,696,2,1.524,2,1
203076,3,7,268,2,0.0,1,1
1740,-64,271,2,3,8.2296,5,0
201584,-207,165,696,3,7.9248,5,1
203476,1,248,565,3,7.315200000000001,5,0
1733,0,0,228,2,0.0,1,1
202329,-109,61,634,2,3.6576000000000004,3,1
200745,46,240,604,3,7.315200000000001,5,0
696,1,244,502,3,7.315200000000001,5,1
1629056,-13,268,101,3,7.9248,5,1
965,179,15,244,2,5.1816,4,0
2405,-122,133,311,2,5.486400000000001,3,0
202325,-29,28,511,2,1.2192,2,1
203526,47,5,20,2,1.2192,2,0
1000,0,0,215,2,0.0,1,1
2590,0,7,550,2,0.0,1,1
201580,2,11,76,2,0.3048,1,1
2754,-166,40,695,2,5.1816,3,1
2561,-166,80,266,2,5.486400000000001,3,0
714,-148,153,285,2,6.4008,3,0
202698,146,-6,590,2,4.2672,4,0
203460,-5,7,593,2,0.0,1,1
203918,226,67,479,3,7.010400000000001,6,1
2548,143,137,281,2,5.7912,4,1
202330,31,-2,109,2,0.9144000000000001,1,0
1890,0,0,160,2,0.0,1,1
200745,-131,203,49,3,7.315200000000001,5,0
1521,-136,183,251,2,6.7056000000000004,3,0
201145,168,7,353,2,4.8768,4,1
1626184,-185,188,31,3,7.9248,5,0
2470,3,263,247,3,7.9248,5,0
202391,9,12,604,2,0.3048,1,1
2207,-237,-31,2,3,7.010400000000001,6,1
2753,0,0,85,2,0.0,1,0
2572,-27,175,187,2,5.1816,4,0
203086,151,190,355,3,7.315200000000001,5,0
2544,0,1,483,2,0.0,1,1
203944,-5,29,88,2,0.6096,1,0
951,128,53,99,2,3.9624,4,1
1897,0,0,212,2,0.0,1,0
200794,42,125,711,2,3.9624,2,1
202693,9,-2,667,2,0.0,1,0
203944,5,37,243,2,0.9144000000000001,1,1
56,-31,19,313,2,0.9144000000000001,1,1
101128,112,220,194,3,7.315200000000001,5,1
2209,-157,190,82,3,7.315200000000001,5,0
2229,-41,217,362,2,6.7056000000000004,4,1
202732,236,8,80,3,7.010400000000001,6,1
101112,102,235,241,3,7.62,5,0
